Company;Year;Type
Swiss Life;2011;AR-FR
Swiss Life;2011;FR-DE
Swiss Life;2011;FR-EN
Swiss Life;2012;AR-DE
Swiss Life;2012;AR-EN
Swiss Life;2013;AR-DE
Swiss Life;2013;AR-EN
Swiss Life;2014;AR-DE
Swiss Life;2014;AR-EN
Swiss Life;2015;AR-DE
Swiss Life;2015;AR-EN
Swiss Life;2016;AR-DE
Swiss Life;2016;AR-EN
Swiss Life;2017;AR-DE
Swiss Life;2017;AR-EN
Swiss Re;2012;AR-EN
Swiss Re;2012;FR-EN
Swiss Re;2013;AR-EN
Swiss Re;2013;FR-EN
Swiss Re;2014;AR-EN
Swiss Re;2014;CR-EN
Swiss Re;2014;FR-EN
Swiss Re;2015;AR-EN
Swiss Re;2015;CR-EN
Swiss Re;2015;FR-EN
Swiss Re;2016;AR-DE
Swiss Re;2016;AR-EN
Swiss Re;2016;CR-EN
Swiss Re;2016;FR-DE
Swiss Re;2016;FR-EN
Swiss Re;2017;AR-DE
Swiss Re;2017;AR-EN
Swiss Re;2017;CR-EN
Swiss Re;2017;FR-EN
Swisscom;1997;AR-DE
Swisscom;1998;AR-DE
Swisscom;1999;AR-DE
Swisscom;2000;AR-DE
Swisscom;2003;AR-DE
Swisscom;2008;AR-EN
Swisscom;2009;AR-EN
Swisscom;2012;SR-EN
Swisscom;2013;AR-DE
Swisscom;2013;CG-DE
Swisscom;2014;AR-DE
Swisscom;2014;CG-DE
Swisscom;2015;AR-DE
Swisscom;2015;GRI-DE
Swisscom;2015;SR-DE
Swisscom;2016;AR-DE
Swisscom;2016;GRI-DE
Swisscom;2016;SR-DE
Swisscom;2017;AR-DE
Swisscom;2017;GRI-DE
Swisscom;2017;ISO14064-DE
Swisscom;2017;SR-DE
Swisscom;2018;AR-DE
Swisscom;2018;GRI-DE
Swisscom;2018;ISO14064-DE
Swisscom;2018;SR-DE
Swissquote;2011;AR-EN
Swissquote;2012;AR-EN
Swissquote;2013;AR-EN
Swissquote;2014;AR-EN
Swissquote;2015;AR-EN
Swissquote;2016;AR-EN
Swissquote;2017;AR-EN
Swissquote;2018;AR-EN
Swissquote;2018;FR-EN
Thurgauer Kantonalbank;2012;GB-DE
Thurgauer Kantonalbank;2013;GB-DE
Thurgauer Kantonalbank;2014;GB-DE
Thurgauer Kantonalbank;2015;GB-DE
Thurgauer Kantonalbank;2016;GB-DE
Thurgauer Kantonalbank;2017;GB-DE
Thurgauer Kantonalbank;2018;GB-DE
UBS;2003;FR-DE
UBS;2007;CG-EN
UBS;2007;FR-EN
UBS;2007;RR-EN
UBS;2007;SR-EN
UBS;2008;AR-EN
